Interval, Ratio
355000, 0.374967
356000, 0.375045
357000, 0.375041
358000, 0.375106
359000, 0.375297
360000, 0.375341
361000, 0.375324
362000, 0.375400
363000, 0.375480
364000, 0.375334
365000, 0.375626
366000, 0.375533
367000, 0.375567
368000, 0.375578
369000, 0.375576
370000, 0.375591
371000, 0.375233
372000, 0.375343
373000, 0.375331
374000, 0.375507
375000, 0.375325
376000, 0.375516
377000, 0.375327
378000, 0.375432
379000, 0.375435
380000, 0.375430
381000, 0.375460
382000, 0.375597
383000, 0.375450
384000, 0.375621
385000, 0.375673
386000, 0.375763
387000, 0.375754
388000, 0.375695
389000, 0.375659
390000, 0.375824
391000, 0.375781
392000, 0.375730
393000, 0.375660
394000, 0.375790
395000, 0.375754
396000, 0.375872
397000, 0.375807
398000, 0.375801
399000, 0.375866
400000, 0.375794
401000, 0.375637
402000, 0.375588
403000, 0.375572
404000, 0.375479
405000, 0.375384
406000, 0.375408
407000, 0.375462
408000, 0.375653
409000, 0.375576
410000, 0.375437
411000, 0.375281
412000, 0.375298
413000, 0.375362
414000, 0.375365
415000, 0.375429
416000, 0.375456
417000, 0.375309
418000, 0.375344
419000, 0.375035
420000, 0.375060
421000, 0.375141
422000, 0.375158
423000, 0.375133
424000, 0.375186
425000, 0.375147
426000, 0.375153
427000, 0.375136
428000, 0.374934
429000, 0.374889
430000, 0.374685
431000, 0.374865
432000, 0.374931
433000, 0.375027
434000, 0.375027
435000, 0.374839
436000, 0.374847
437000, 0.374837
438000, 0.374749
439000, 0.374746
440000, 0.374689
441000, 0.374699
442000, 0.374646
443000, 0.374597
444000, 0.374651
445000, 0.374739
446000, 0.374833
447000, 0.374687
448000, 0.374651
449000, 0.374591
450000, 0.374460
451000, 0.374421
452000, 0.374515
453000, 0.374499
454000, 0.374500
455000, 0.374481
456000, 0.374463
457000, 0.374480
458000, 0.374458
459000, 0.374430
460000, 0.374470
461000, 0.374500
462000, 0.374271
463000, 0.374331
464000, 0.374310
465000, 0.374417
466000, 0.374271
467000, 0.374275
468000, 0.374274
469000, 0.374355
470000, 0.374305
471000, 0.374215
472000, 0.374235
473000, 0.374252
474000, 0.374248
475000, 0.374375
476000, 0.374244
477000, 0.374092
478000, 0.374247
479000, 0.374252
480000, 0.374288
481000, 0.374392
482000, 0.374462
483000, 0.374519
484000, 0.374541
485000, 0.374508
486000, 0.374716
487000, 0.374772
488000, 0.374865
489000, 0.374886
490000, 0.374807
491000, 0.374850
492000, 0.375009
493000, 0.374909
494000, 0.374963
495000, 0.374866
496000, 0.374779
497000, 0.374840
498000, 0.374903
499000, 0.374928
500000, 0.374919
501000, 0.374928
502000, 0.374958
503000, 0.375003
504000, 0.374991
505000, 0.375051
506000, 0.375071
507000, 0.375083
508000, 0.374997
509000, 0.375269
510000, 0.375242
511000, 0.375218
512000, 0.375082
513000, 0.375147
514000, 0.375056
515000, 0.375070
516000, 0.375099
517000, 0.375102
518000, 0.375216
519000, 0.375273
520000, 0.375267
521000, 0.375258
522000, 0.375185
523000, 0.375078
524000, 0.375104
525000, 0.375153
526000, 0.375138
527000, 0.375103
528000, 0.375057
529000, 0.375166
530000, 0.375091
531000, 0.375182
532000, 0.375216
533000, 0.375111
534000, 0.375116
535000, 0.375116
536000, 0.375102
537000, 0.375200
538000, 0.375197
539000, 0.375191
540000, 0.375109
541000, 0.375190
542000, 0.375215
543000, 0.375165
544000, 0.375223
545000, 0.375256
546000, 0.375147
547000, 0.375139
548000, 0.375039
549000, 0.375108
550000, 0.375168
551000, 0.375176
552000, 0.375151
553000, 0.375357
554000, 0.375268
555000, 0.375358
556000, 0.375448
557000, 0.375513
558000, 0.375588
559000, 0.375614
560000, 0.375659
561000, 0.375588
562000, 0.375481
563000, 0.375586
564000, 0.375539
565000, 0.375476
566000, 0.375492
567000, 0.375427
568000, 0.375490
569000, 0.375519
570000, 0.375390
571000, 0.375285
572000, 0.375242
573000, 0.375351
574000, 0.375456
575000, 0.375493
576000, 0.375473
577000, 0.375552
578000, 0.375448
579000, 0.375395
580000, 0.375376
581000, 0.375262
582000, 0.375353
583000, 0.375408
584000, 0.375569
585000, 0.375547
586000, 0.375476
587000, 0.375525
588000, 0.375635
589000, 0.375627
590000, 0.375533
591000, 0.375581
592000, 0.375681
593000, 0.375721
594000, 0.375702
